norm1-float32:
              N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Atomic-128  cuTile-Atomic-256  cuTile-Atomic-512  cuTile-Atomic-1024  cuTile-Atomic-2048  cuTile-Atomic-4096  cuTile-Atomic-8192
0        1024.0     0.901408    1.000000    0.992248    0.992248     0.992248     0.992248     0.992248     0.673684           0.666667           0.666667           0.666667            0.663212            0.663212            0.659794            0.494209
1        2048.0     2.000000    1.984496    1.984496    1.984496     1.984496     1.984496     1.984496     1.347368           1.333333           1.333333           1.333333            1.333333            1.326425            1.326425            0.988417
2        4096.0     2.666667    3.968992    3.968992    3.968992     3.968992     3.968992     2.659740     2.652850           2.666667           2.666667           2.652850            2.652850            2.652850            2.115703            1.976834
3        8192.0     4.047431    7.937985    7.937985    7.937985     7.907336     7.937985     5.305699     5.251282           5.333333           5.333333           5.305699            5.305699            5.305699            4.213992            3.190031
4       16384.0     7.968871   15.753846   15.875970   15.753846    15.753846    15.753846    10.666666    10.502564          10.666666          10.666666          10.611399           10.611399           10.611399            8.427983            6.380062
5       32768.0    10.666666   21.222798   31.507692   31.507692    31.267177    31.267177    21.222798    21.005128          21.333333          21.333333          21.222798           21.222798           21.222798           16.000000           12.760125
6       65536.0    14.222222   42.010256   42.445596   62.060606    62.534354    62.534354    42.445596    42.010256          42.445596          42.445596          42.445596           42.445596           42.445596           32.000000           25.520249
7      131072.0    51.360499   51.040499   67.423868   84.891192    84.891192    84.891192    84.891192    77.649287          84.891192          84.891192          84.891192           84.891192           84.891192           64.000000           51.040499
8      262144.0   102.400003   72.656319  102.080997  128.000000   169.782384   169.782384   169.782384   128.000000         128.000000         169.782384         169.782384          169.782384          169.782384          128.000000          102.400003
9      524288.0   205.441998   78.769232  128.000000  203.527946   255.003884   256.000001   337.814445   256.000001         170.666661         254.015518         256.000001          336.082050          336.082050          255.003884          204.800005
10    1048576.0   408.323988   88.983025  157.538463  255.500972   341.333321   409.600010   409.600010   510.007768         227.161167         341.333321         408.323988          510.007768          510.007768          510.007768          409.600010
11    2097152.0   677.374664   93.090908  170.666661  292.571425   418.760388   583.839626   679.129534   677.374664         291.595113         454.716373         583.839626          679.129534          806.596921          811.591367          680.893520
12    4194304.0   910.222190   95.481331  181.855008  315.076927   510.504372   742.617542   903.944839   910.222190         314.887690         546.133347         815.377908          905.506068          758.738036          815.377908         1018.034909
13    8388608.0  1166.380453   96.946742  186.181817  334.367358   564.053807   818.560515  1023.000971  1091.130092         334.047794         629.397360         961.114537          961.114537          907.858050         1020.015537         1166.380453
14   16777216.0  1311.539752   98.698796  191.853625  364.088883   643.495570   915.387174  1128.107613  1260.307707         341.333321         658.033249        1057.032272         1168.329774         1091.698097         1058.098912         1211.526267
15   33554432.0  1454.840064   99.111605  193.571348  372.827007   675.302525   992.969689  1174.546082  1364.445071         348.479883         682.666643        1148.809612         1363.557909         1237.805534         1241.285630         1235.799647
16   67108864.0  1506.304239   99.237059  195.122476  381.803644   704.688154  1101.011676  1213.103144  1439.610116         350.452575         693.502651        1186.088096         1455.597463         1379.024827         1382.661643         1364.888982
17  134217728.0  1457.620898   99.730810  196.576524  390.385709   735.746023  1237.805492  1356.172996  1480.778095         351.819492         700.393077        1284.626054         1515.283298         1482.741108         1480.582092         1464.108160

