dot_product-float64:
              N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Atomic-128  cuTile-Atomic-256  cuTile-Atomic-512  cuTile-Atomic-1024  cuTile-Atomic-2048  cuTile-Atomic-4096  cuTile-Atomic-8192
0         128.0     0.250000    0.500000    0.496124    0.333333     0.333333     0.333333     0.250000     0.166234           0.333333           0.333333           0.333333            0.333333            0.268908            0.250000            0.200000
1         256.0     0.500000    1.000000    1.000000    1.000000     0.666667     0.666667     0.500000     0.333333           0.666667           0.666667           0.666667            0.666667            0.500000            0.500000            0.398754
2         512.0     1.011858    2.000000    2.000000    2.000000     1.333333     1.333333     1.000000     0.666667           1.333333           1.333333           1.333333            1.007874            1.000000            1.000000            0.797508
3        1024.0     2.000000    2.666667    2.666667    2.666667     2.666667     2.666667     2.000000     1.333333           2.666667           2.666667           2.666667            2.007843            2.000000            2.000000            1.595016
4        2048.0     4.000000    8.000000    5.333333    5.333333     5.333333     5.333333     4.000000     2.666667           5.333333           5.333333           5.333333            5.333333            4.000000            4.000000            3.303226
5        4096.0     8.031373   10.666666   16.000000   11.702858    10.666666    10.666666     8.000000     5.333333          10.666666          10.666666          10.666666            8.000000            8.000000            8.000000            6.380062
6        8192.0    15.170371   21.333333   21.333333   21.333333    21.333333    21.333333    16.000000    10.666666          21.333333          21.333333          21.333333           16.000000           16.000000           16.000000           11.040431
7       16384.0    25.680250   57.690139   42.666665   42.666665    42.666665    42.666665    32.000000    21.333333          42.666665          42.666665          42.666665           32.000000           32.000000           32.000000           21.277923
8       32768.0    51.200001   85.333330   85.333330   85.333330    85.333330    64.250982    64.000000    42.666665          85.333330          65.274903          64.250982           64.000000           64.000000           64.000000           44.043010
9       65536.0   102.400003  128.000000  170.666661  170.666661   170.666661   159.067963   128.000000    85.333330         136.533337         128.000000         128.000000          128.000000          128.000000          102.400003           87.849869
10     131072.0   202.897842  170.666661  204.800005  256.000001   256.000001   256.000001   256.000001   170.666661         256.000001         256.000001         256.000001          256.000001          213.472306          204.800005          170.223380
11     262144.0   341.333321  213.125204  292.571425  409.600010   409.600010   409.600010   512.000001   292.571425         409.600010         510.007768         409.600010          409.600010          409.600010          409.600010          338.687332
12     524288.0   583.839626  240.941172  372.363633  512.000001   682.666643   604.018451   682.666643   513.001966         512.000001         682.666643         682.666643          682.666643          682.666643          585.142849          522.199223
13    1048576.0   801.663640  256.000001  420.102579  585.142849   819.200021   910.222190   819.200021   819.200021         630.153853         820.482034         819.200021          819.200021          910.222190          819.200021          744.727267
14    2097152.0  1023.000971  264.258068  454.913648  655.360017   963.764689  1093.405601  1092.266694   963.764689         744.727267         910.222190         819.200021          819.840526          863.025475          963.764689          863.025475
15    4194304.0  1259.550759  282.482752  496.602440  780.190482  1092.266694  1310.720033  1260.307707  1170.285698         862.315828        1130.540138         993.440072          993.440072         1023.500243         1091.698097          992.499752
16    8388608.0  1351.475431  288.090120  516.031469  819.200021  1151.332408  1394.382938  1392.993639  1310.720033         923.042225        1310.720033        1212.577035         1192.580038         1191.563627         1191.902238         1129.626686
17   16777216.0  1440.351621  290.313480  526.856404  859.576634  1191.563627  1481.039595  1394.382938  1424.937686        1008.246151        1409.376308        1379.251514         1365.333285         1365.333285         1337.682662         1304.401836
18   33554432.0  1497.965768  293.062046  543.550041  907.317942  1317.409985  1542.023535  1472.848403  1497.965768        1079.094131        1472.589788        1460.348690         1472.719084         1452.447038         1456.355533         1434.011365
19   67108864.0  1537.501438  295.541321  554.517885  940.519170  1420.834740  1565.038854  1544.294574  1549.571960        1121.471636        1476.867620        1510.950480         1519.468958         1526.311516         1524.093023         1510.916454
20  134217728.0  1575.584397  296.626882  558.365770  954.552587  1475.828297  1577.992486  1553.104365  1569.137242        1131.760374        1543.122661        1543.087236         1551.147938         1556.905702         1562.451693         1554.561495
21  268435456.0  1597.811126  297.785153  562.427616  962.437789  1489.983651  1605.244751  1572.363406  1602.695368        1156.884825        1572.059543        1580.352211         1589.334710         1603.959549         1607.628930         1602.886886
22  536870912.0  1622.388001  298.208598  563.561171  966.210339  1509.005332  1629.172311  1626.625219  1627.808957        1071.068433        1546.563350        1596.452196         1627.433887         1627.744755         1630.008219         1627.581880

