vecadd-float16:
              N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Gather-128  cuTile-Gather-256  cuTile-Gather-512  cuTile-Gather-1024  cuTile-Gather-2048  cuTile-Gather-4096  cuTile-Gather-8192
0        1024.0     1.500000     1.627119     1.627119     1.627119     1.627119     1.627119     1.500000     1.627119           1.627119           1.361702           1.627119            1.627119            1.627119            1.627119            1.627119
1        2048.0     3.000000     2.723404     3.254237     2.742857     2.742857     2.953846     3.000000     2.723404           2.723404           2.965251           3.254237            2.953846            2.157303            2.157303            2.157303
2        4096.0     6.000000     5.446809     6.508474     5.446809     5.485714     5.446809     5.446809     5.446809           5.446809           6.508474           6.508474            5.446809            4.314607            3.746341            3.746341
3        8192.0    12.000000    10.893617    10.893617    10.893617    10.893617    10.893617    10.893617     8.581006          10.893617          10.893617          10.893617           10.893617            8.629213            8.439560            6.243902
4       16384.0    24.000000    21.787235    21.787235    26.033898    21.787235    26.033898    21.787235    16.879121          21.787235          21.787235          21.787235           21.787235           16.879121           16.879121           12.487804
5       32768.0    48.000000    43.574469    43.574469    43.574469    52.067795    43.574469    43.574469    31.999999          43.574469          43.574469          43.574469           52.067795           33.758241           33.758241           24.975609
6       65536.0    96.000000    85.930071   104.135590    86.535209    86.535209    86.535209    87.148938    67.516482          86.535209         104.135590          86.535209          104.135590           68.648047           59.941462           45.511113
7      131072.0   190.511639   138.067414   138.067414   138.067414   138.067414   138.067414   138.067414   127.999995         138.067414         138.067414         138.067414          138.067414          127.999995          101.975103           79.277419
8      262144.0   255.999991   255.999991   274.592186   269.326027   274.592186   274.592186   274.592186   270.065929         255.999991         274.592186         260.063494          274.592186          240.941181          199.804870          160.104230
9      524288.0   511.999982   540.131858   481.882362   511.999982   540.131858   481.882362   509.347151   540.131858         540.131858         479.531698         540.131858          511.999982          540.131858          399.609739          317.109674
10    1048576.0   768.000002   642.509800   799.219478   799.219478   768.000002   768.000002   799.219478   768.000002         642.509800         768.000002         799.219478          799.219478          799.219478          730.884728          511.999982
11    2097152.0  1224.971964   899.807760  1023.999964  1057.032231  1177.293374  1177.293374  1268.438697  1051.379691         899.807760        1023.999964        1062.745962         1177.293374         1023.999964         1020.015575          899.807760
12    4194304.0  1230.723050  1133.187340  1136.462473  1327.311391  1335.198635  1365.333285  1365.333285  1256.281163        1133.187340        1133.187340        1298.814239         1335.198635         1037.509222         1139.756496         1138.931178
13    8388608.0  1228.800031  1170.285724  1154.819375  1179.058445  1238.475583  1241.408065  1238.475583  1304.199020        1179.058445        1128.309883        1182.604512         1238.475583         1304.199020         1304.199020         1238.475583
14   16777216.0  1404.342820  1293.473742  1371.285088  1396.239726  1404.342820  1396.239726  1437.061735  1404.342820        1334.066142        1371.285088        1410.640369         1404.342820         1396.239726         1357.672884         1336.333052
15   33554432.0  1445.647033  1342.893475  1440.681489  1432.970270  1441.341600  1450.981565  1461.769457  1441.671805        1361.492309        1441.341600        1429.226718         1441.341600         1441.341600         1408.745182         1387.617095
16   67108864.0  1478.255705  1363.410161  1479.994352  1468.936801  1469.623065  1479.994352  1480.690989  1479.994352        1386.088605        1478.255705        1467.223862         1472.719124         1479.994352         1468.936801         1447.309934
17  134217728.0  1496.273478  1381.636789  1497.965768  1493.875405  1495.117902  1499.572340  1501.719971  1496.006738        1364.371045        1499.661723        1493.698026         1496.362468         1496.006738         1487.517688         1476.347695

