vecadd-float32:
              N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Gather-128  cuTile-Gather-256  cuTile-Gather-512  cuTile-Gather-1024  cuTile-Gather-2048  cuTile-Gather-4096  cuTile-Gather-8192
0        1024.0     3.000000     3.254237     2.898113     3.254237     2.723404     3.254237     3.254237     2.723404           3.254237           3.000000           3.254237            3.254237            3.254237            2.010471            2.000000
1        2048.0     6.000000     5.446809     5.446809     5.485714     5.446809     5.446809     5.446809     5.446809           5.446809           5.485714           5.446809            4.314607            4.219780            3.746341            3.746341
2        4096.0    12.000000    13.016949    10.893617    10.893617    10.893617    13.016949     8.629213     8.439560          13.016949          10.893617          10.893617            8.629213            7.492683            6.243902            6.243902
3        8192.0    24.000000    21.787235    21.787235    21.787235    21.787235    21.787235    17.258427    15.999999          21.787235          21.787235          21.787235           17.162012           14.985366           12.487804            8.000000
4       16384.0    48.000000    43.574469    43.574469    43.574469    52.067795    43.574469    34.324023    33.758241          43.574469          43.574469          43.574469           34.324023           33.758241           24.975609           15.999999
5       32768.0    96.000000    86.535209   104.135590   104.135590    86.535209    86.535209    68.648047    59.941462          86.535209          87.148938          86.535209           68.648047           67.516482           49.951217           32.855615
6       65536.0   190.511639   138.067414   206.521014   138.067414   138.067414   138.067414   128.670158   135.032965         138.067414         138.067414         206.521014          127.999995          100.310203           80.052115           65.711231
7      131072.0   255.999991   255.999991   257.340315   259.377306   257.340315   257.340315   255.999991   270.065929         258.015744         257.340315         257.340315          270.065929          199.804870          160.104230          113.253460
8      262144.0   511.999982   540.131858   540.131858   540.131858   540.131858   540.131858   540.131858   399.609739         540.131858         540.131858         540.131858          540.131858          399.609739          307.200008          220.659932
9      524288.0   768.000002   795.983818   809.086412   799.219478   799.219478   768.000002   809.086412   730.884728         809.086412         799.219478         799.219478          736.359562          730.884728          525.689846          394.795174
10    1048576.0  1228.800031  1023.999964  1228.800031  1268.438697  1268.438697  1268.438697  1268.438697  1051.379691        1051.379691        1268.438697        1268.438697         1051.379691         1051.379691          897.753449          627.138755
11    2097152.0  1365.333285  1117.090900  1330.680162  1335.198635  1335.198635  1365.333285  1399.345266  1250.289315        1117.090900        1323.959634        1335.198635         1043.013292         1248.304714         1133.187340         1037.509222
12    4194304.0  1289.232812  1128.309883  1179.058445  1238.475583  1240.429029  1238.475583  1304.199020  1304.199020        1128.309883        1179.058445        1238.475583         1304.199020         1304.199020         1238.475583         1179.058445
13    8388608.0  1404.342820  1371.285088  1372.781156  1404.342820  1396.239726  1436.405537  1413.175232  1396.239726        1371.285088        1396.239726        1404.342820         1396.239726         1371.285088         1365.037051         1334.066142
14   16777216.0  1445.647033  1441.011392  1430.526616  1441.341600  1451.986098  1462.449039  1450.646926  1429.226718        1439.692378        1429.226718        1441.341600         1439.692378         1417.633232         1388.842373         1427.929180
15   33554432.0  1489.454534  1479.994352  1468.936801  1474.444765  1479.994352  1491.043056  1479.994352  1468.936801        1480.603854        1467.223862        1475.136186         1478.255705         1468.936801         1447.309934         1436.733485
16   67108864.0  1496.718368  1501.719971  1496.006738  1498.857827  1501.719971  1501.719971  1501.719971  1493.210618        1503.065347        1493.963944        1496.362468         1493.963944         1487.517688         1476.347695         1459.057591
17  134217728.0  1509.466385  1512.823741  1503.694003  1506.574665  1508.019138  1509.919324  1509.466385  1502.706422        1510.236460        1504.143485        1506.574665         1506.574665         1501.451285         1498.411665         1483.265547

