stencil1d-float64:
              N   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        1024.0     8.677966     8.677966     8.677966     5.361257     5.333333     4.000000     2.659740
1        2048.0    15.875970    15.398497    14.422535    10.666666    11.252747     7.641791     5.461333
2        4096.0    31.751940    29.049646    25.283951    21.333333    22.505494    13.212903     9.416092
3        8192.0    63.503880    58.099292    46.811430    42.666665    39.960975    26.425806    18.660592
4       16384.0   138.847453   115.380278   137.680676    90.021976    90.021976    52.851612    37.406394
5       32768.0   230.760556   188.321838   183.061458   170.666661   159.843899   105.703225    74.812787
6       65536.0   341.333321   341.333321   341.333321   341.333321   360.087905   196.804803   149.625575
7      131072.0   639.375598   720.175811   720.175811   720.175811   532.812985   422.812899   299.251150
8      262144.0  1272.543708  1432.480902  1065.625971  1065.625971  1065.625971   706.587597   522.199223
9      524288.0  2131.251941  2131.251941  1941.807483  1691.251596  1691.251596  1401.839589   926.303883
10    1048576.0  2092.966180  2269.645040  2332.760830  2084.644183  2088.796893  1852.607766  1605.782482
11    2097152.0  2781.368779  2766.691259  2563.755500  2523.648668  2302.032905  2068.197162  2216.862613
12    4194304.0  2757.596216  2753.975130  2644.580127  2637.927044  2535.854864  2272.104045  2441.387599
13    8388608.0  2829.687311  2859.102942  2798.068035  2739.584556  2768.517472  2629.657618  2226.866976
14   16777216.0  2917.776690  2885.658050  2836.384847  2823.971800  2854.238830  2763.956453  2548.954184
15   33554432.0  2915.241796  2900.123746  2868.390461  2864.961804  2883.178633  2845.042580  2762.022647
16   67108864.0  2926.683998  2922.096403  2902.883580  2905.774516  2919.172915  2889.883116  2828.017810
17  134217728.0  2939.245890  2934.233832  2911.573695  2917.903586  2925.535690  2911.889726  2855.757100

