stencil1d-float16:
              N   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        1024.0     2.169491     2.000000     2.000000     2.015748     2.000000     2.000000     1.333333
1        2048.0     4.000000     4.063492     4.000000     4.129032     4.000000     4.000000     2.666667
2        4096.0     8.000000     8.000000     8.062992     8.000000     7.937985     5.361257     5.333333
3        8192.0    16.000000    16.000000    16.000000    16.000000    15.875970    10.722513    10.666666
4       16384.0    32.000000    32.000000    32.000000    32.000000    21.445026    21.445026    21.787233
5       32768.0    64.000000    64.000000    64.000000    64.000000    42.890053    42.890053    42.890053
6       65536.0   124.121211   128.000000   128.000000   123.187975    85.780105    85.780105    85.780105
7      131072.0   171.560210   250.137417   171.560210   171.560210   171.560210   171.560210   171.560210
8      262144.0   341.333321   343.120420   343.120420   341.333321   343.120420   346.751326   344.926305
9      524288.0   682.666643   720.175811   682.666643   682.666643   682.666643   682.666643   679.129534
10    1048576.0  1065.625971  1074.360676  1358.259068  1358.259068  1337.469431  1024.000003  1078.781883
11    2097152.0  1172.903807  1707.778450  1638.400041  1648.704372  1643.535981  1707.778450  1638.400041
12    4194304.0  1489.454534  1862.479641  2048.000005  2036.069818  1837.994717  2048.000005  2048.000005
13    8388608.0  1720.387247  2727.115818  2720.041533  2720.041533  2514.570726  2526.689232  2375.030654
14   16777216.0  1771.991479  2748.560983  2728.890142  2628.009950  2523.648668  2623.079503  2520.615413
15   33554432.0  1819.654593  2817.805766  2800.870796  2800.870796  2730.666570  2786.912862  2741.375148
16   67108864.0  1848.118140  2880.208813  2878.726081  2855.696438  2817.332689  2847.456813  2847.940286
17  134217728.0  1775.178919  2888.141736  2906.655489  2896.368760  2863.739171  2880.455891  2864.717148

