babelstream-Copy-float32:
             N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
10    131072.0  151.703707   257.340315   255.999991   257.340315   274.592186   270.065929   271.558017   255.999991
11    262144.0  257.003920   511.999982   514.680630   511.999982   511.999982   511.999982   540.131858   411.313806
12    524288.0  434.973444   768.000002   768.000002   768.000002   768.000002   799.219478   799.219478   768.000002
13   1048576.0  679.129551  1213.629655  1026.673613  1228.800031  1226.883012  1228.800031  1217.387051  1051.379691
14   2097152.0  830.007391  1228.800031  1365.333285  1389.455824  1367.707796  1396.859731  1365.333285  1138.107053
15   4194304.0  876.247331  1289.232812  1292.410896  1307.451411  1380.916523  1365.333285  1365.333285  1308.539150
16   8388608.0  893.165236  1404.342820  1404.342820  1442.994450  1406.226173  1445.647033  1442.994450  1403.716156
17  16777216.0  855.165975  1445.315005  1425.018393  1445.979370  1465.515072  1446.976986  1446.644346  1424.695621
18  33554432.0  635.436409  1478.082016  1469.451399  1474.963230  1478.429272  1480.516728  1478.603043  1463.469676

babelstream-Dot-float32:
             N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0     0.166667    0.250000    0.250000    0.250000     0.250000     0.166667     0.166667     0.166667
1        256.0     0.333333    0.500000    0.500000    0.500000     0.500000     0.500000     0.357542     0.333333
2        512.0     0.666667    1.000000    1.000000    1.000000     1.000000     0.666667     0.666667     0.666667
3       1024.0     1.333333    2.000000    2.000000    2.000000     2.000000     1.333333     1.333333     1.333333
4       2048.0     2.666667    4.000000    4.000000    4.000000     4.000000     2.680628     2.666667     2.666667
5       4096.0     5.305699    8.000000    8.000000    8.000000     8.000000     5.361257     5.333333     5.333333
6       8192.0    10.666666   16.000000   16.000000   16.000000    16.000000    10.666666    10.666666     8.000000
7      16384.0    21.333333   32.000000   31.751940   32.000000    32.000000    21.333333    21.333333    16.000000
8      32768.0    32.062623   42.666665   43.115788   43.115788    42.890053    42.666665    42.666665    32.000000
9      65536.0    51.200001   64.000000   85.333330   85.333330    85.333330    85.333330    85.333330    64.000000
10    131072.0   102.400003  102.400003  128.000000  170.666661   170.666661   170.666661   128.501965   121.814121
11    262144.0   204.800005  128.000000  204.800005  256.000001   257.003930   341.333321   256.000001   204.800005
12    524288.0   341.333321  157.538463  256.000001  341.333321   409.600010   409.600010   512.000001   409.600010
13   1048576.0   585.142849  170.666661  292.571425  455.111095   585.142849   682.666643   680.893520   684.449075
14   2097152.0   819.200021  178.026481  327.680008  512.000001   744.727267   820.482034   910.222190   819.200021
15   4194304.0  1091.130092  182.076060  329.119895  564.965503   819.200021  1024.000003  1092.266694  1170.285698
16   8388608.0  1309.901339  187.245721  356.173905  642.509816   910.222190  1129.931006  1260.307707  1270.231376
17  16777216.0  1392.993639  188.309153  362.077356  655.360017   992.969689  1187.179204  1364.001346  1424.695621
18  33554432.0  1489.454534  191.989753  368.697609  685.231846  1092.408903  1204.740457  1424.695621  1489.454534

