babelstream-Copy-float32:
             N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0     0.250000     0.250000     0.250000     0.250000     0.228571     0.250000     0.250000     0.226950
1        256.0     0.453901     0.500000     0.500000     0.500000     0.500000     0.500000     0.500000     0.500000
2        512.0     1.000000     1.000000     1.000000     0.907801     1.000000     1.000000     1.000000     1.000000
3       1024.0     2.000000     2.000000     1.815603     2.000000     2.000000     2.000000     2.000000     2.000000
4       2048.0     4.000000     4.000000     3.631206     4.000000     4.000000     4.000000     2.666667     4.000000
5       4096.0     8.000000     8.000000     8.000000     8.000000     8.000000     8.000000     5.333333     8.000000
6       8192.0    16.000000    16.000000    16.000000    16.000000    16.000000    16.000000    11.505618    10.666666
7      16384.0    32.000000    29.049646    32.000000    32.000000    32.000000    32.000000    21.333333    21.333333
8      32768.0    64.000000    64.000000    64.000000    64.000000    64.000000    58.099292    42.666665    42.666665
9      65536.0    87.148934    87.148934    87.148934    86.687831    85.780105    85.780105    85.780105    85.333330
10    131072.0   170.666661   170.666661   170.666661   230.760556   170.666661   170.666661   160.627454   159.843899
11    262144.0   341.333321   341.333321   341.333321   341.333321   341.333321   341.333321   341.333321   341.333321
12    524288.0   639.375598   679.129534   682.666643   682.666643   682.666643   682.666643   522.199223   682.666643
13   1048576.0  1081.006193   821.767991  1026.003932  1078.781883  1024.000003  1024.000003   974.512971  1024.000003
14   2097152.0  1134.822520  1137.284193  1162.501109  1170.285698  1379.705219  1365.333285  1361.787041  1365.333285
15   4194304.0  1280.312564  1340.889996  1365.333285  1281.877750  1260.307707  1370.687574  1286.596354  1372.481681
16   8388608.0  1322.290063  1312.360496  1322.290063  1362.671900  1312.360496  1411.273195  1299.350722  1322.290063
17  16777216.0  1422.280045  1409.139556  1394.846654  1424.695621  1424.211849  1395.310679  1371.135661  1396.239654
18  33554432.0  1437.143744  1452.824336  1437.143744  1440.351621  1440.351621  1424.695621  1409.613195  1416.994616

babelstream-Mul-float32:
             N       Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0    0.166667     0.250000     0.250000     0.250000     0.250000     0.250000     0.250000     0.250000
1        256.0    0.329897     0.500000     0.500000     0.500000     0.500000     0.500000     0.500000     0.500000
2        512.0    0.659794     1.000000     0.907801     1.000000     1.000000     1.000000     1.000000     1.000000
3       1024.0    1.319588     2.000000     2.000000     2.000000     2.000000     2.000000     2.000000     2.000000
4       2048.0    2.639175     3.631206     4.000000     4.000000     4.000000     4.000000     4.000000     3.631206
5       4096.0    5.251282     8.000000     7.262412     8.000000     8.000000     8.000000     8.000000     8.000000
6       8192.0   10.502564    16.000000    16.000000    16.000000    16.000000    14.524823    16.000000    10.666666
7      16384.0   21.005128    32.000000    32.000000    29.049646    29.049646    32.000000    32.000000    21.333333
8      32768.0   42.010256    64.000000    58.099292    64.000000    64.000000    64.000000    63.503880    42.666665
9      65536.0   67.702481   116.198584   128.000000   128.000000    86.687831   116.198584    85.333330    85.333330
10    131072.0  127.501942   170.666661   170.666661   170.666661   230.760556   170.666661   187.245721   170.666661
11    262144.0  256.000001   341.333321   341.333321   341.333321   343.120420   341.333321   341.333321   341.333321
12    524288.0  410.883995   639.375598   682.666643   682.666643   682.666643   682.666643   682.666643   682.666643
13   1048576.0  682.666643   819.200021   856.679734  1024.000003  1028.015720  1024.000003  1024.000003  1024.000003
14   2097152.0  911.805197  1167.679252  1320.624698  1365.333285  1633.295953  1376.084023  1365.333285  1569.724498
15   4194304.0  963.764689  1368.005190  1281.877750  1390.684389  1340.889996  1489.454534  1487.341816  1458.381078
16   8388608.0  994.853897  1353.001251  1365.333285  1376.987565  1365.333285  1437.389944  1437.389944  1364.445071
17  16777216.0  993.675485  1394.382938  1394.382938  1424.695621  1423.728406  1423.970087  1424.695621  1418.432228
18  33554432.0  728.177767  1440.351621  1437.143744  1437.143744  1435.913782  1421.316219  1421.557025  1412.699214

babelstream-Add-float32:
             N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0     0.248705     0.375000     0.410256     0.410256     0.375000     0.375000     0.406780     0.375000
1        256.0     0.497409     0.813559     0.813559     0.813559     0.755905     0.813559     0.744186     0.813559
2        512.0     0.989691     1.488372     1.488372     1.627119     1.488372     1.627119     1.488372     1.511811
3       1024.0     1.979382     3.254237     3.023622     3.023622     3.254237     3.254237     3.282051     3.254237
4       2048.0     3.938462     6.508474     6.508474     5.953489     6.508474     5.953489     6.508474     5.953489
5       4096.0     7.876923    12.094488    13.016949    13.016949    11.906977    12.094488    11.636364     8.041885
6       8192.0    15.753846    24.188975    24.188975    23.813955    23.813955    26.033898    17.258427    16.972376
7      16384.0    31.507692    52.067795    52.067795    47.627910    47.627910    47.627910    31.834197    33.758241
8      32768.0    51.200001   104.135590    96.755900    65.711231    65.015874    64.335079    67.516482    67.516482
9      65536.0    96.000000   186.181817   128.670158   186.181817   186.181817   127.336788   135.032965   129.347364
10    131072.0   191.252913   270.065929   254.673575   257.340315   254.673575   270.065929   270.065929   252.061538
11    262144.0   384.000001   514.680630   514.680630   509.347151   514.680630   509.347151   516.031489   382.505826
12    524288.0   511.999982   799.219478   809.086412   809.086412   809.086412   809.086412   809.086412   809.086412
13   1048576.0   875.759439  1217.387051  1213.629655  1217.387051  1228.800031  1217.387051  1224.971964  1051.379691
14   2097152.0  1017.376446  1248.304714  1365.333285  1365.333285  1389.455824  1365.333285  1396.859731  1362.967005
15   4194304.0  1038.879786  1169.415616  1227.840773  1228.800031  1289.232812  1231.686819  1307.451411  1294.538213
16   8388608.0  1143.069767  1367.113394  1404.342820  1403.716156  1404.342820  1444.982974  1425.341160  1404.342820
17  16777216.0  1116.595272  1448.976508  1444.651250  1450.312597  1465.856448  1466.198142  1465.856448  1444.319524
18  33554432.0   889.817701  1478.776854  1467.566194  1469.451399  1478.516152  1479.994352  1479.994352  1468.336785

babelstream-Triad-float32:
             N       Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0    0.187500     0.375000     0.375000     0.406780     0.406780     0.406780     0.375000     0.406780
1        256.0    0.375000     0.744186     0.813559     0.755905     0.813559     0.813559     0.755905     0.755905
2        512.0    0.744186     1.511811     1.627119     1.627119     1.488372     1.627119     1.627119     1.500000
3       1024.0    1.494163     2.976744     3.282051     3.023622     3.254237     3.023622     3.282051     3.023622
4       2048.0    2.976744     5.953489     5.953489     6.047244     5.953489     6.564102     6.508474     6.508474
5       4096.0    5.976654    11.906977    13.016949    12.094488    13.016949    13.016949     8.581006     8.581006
6       8192.0   11.420074    23.813955    26.033898    26.033898    24.188975    26.033898    16.083770    15.917098
7      16384.0   20.078431    47.627910    48.000000    51.630254    48.000000    48.000000    33.758241    33.758241
8      32768.0   39.638709    91.701491   104.135590    65.015874   104.135590    64.673682    68.648047    63.999998
9      65536.0   76.560748   127.336788   186.181817   186.181817   128.670158   150.773002   135.779009   135.032965
