norm2-float64:
              N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Atomic-128  cuTile-Atomic-256  cuTile-Atomic-512  cuTile-Atomic-1024  cuTile-Atomic-2048  cuTile-Atomic-4096  cuTile-Atomic-8192
0        1024.0     1.333333    1.954199    1.954199    1.458689     1.333333     1.333333     1.009862     0.797508           1.333333           1.333333           1.326425            1.326425            1.326425            0.996109            0.797508
1        2048.0     2.666667    3.908397    3.878788    2.694737     2.652850     2.652850     2.015748     1.595016           2.666667           2.652850           2.652850            2.652850            2.652850            1.992218            1.595016
2        4096.0     4.000000    7.816794    7.757576    5.333333     5.305699     5.305699     4.031496     3.190031           5.305699           5.305699           5.333333            5.305699            5.305699            3.984436            3.190031
3        8192.0     6.400000   15.633589   11.505618   10.666666    10.611399    10.611399     8.031373     6.380062          10.611399          10.611399          10.611399           10.611399           10.611399            7.968871            6.380062
4       16384.0    10.666666   30.796994   22.882682   21.333333    21.222798    21.222798    16.000000    12.760125          21.222798          21.222798          21.222798           21.222798           21.113403           15.937743           12.760125
5       32768.0    16.000000   42.445596   42.666665   42.666665    42.445596    42.445596    32.000000    25.520249          42.445596          42.666665          42.445596           42.445596           42.010256           32.000000           25.520249
6       65536.0    19.692308   64.000000   84.020513   84.891192    84.891192    84.891192    63.875243    51.040499          84.891192          84.891192          84.891192           84.891192           67.423868           63.750971           51.040499
7      131072.0    84.671833   85.111690  127.007759  128.000000   169.782384   168.041025   128.000000   102.080997         128.000000         169.782384         169.782384          169.782384          128.000000          128.000000          102.080997
8      262144.0   149.625575  113.580584  170.223380  204.800005   253.034756   255.003884   255.003884   204.800005         204.800005         256.000001         256.000001          256.000001          255.003884          215.224966          170.666661
9      524288.0   292.571425  127.875121  204.480502  292.571425   341.333321   405.795684   409.600010   408.323988         337.814445         409.600010         408.323988          409.600010          408.323988          408.323988          340.446760
10    1048576.0   522.199223  136.462262  227.555548  341.333321   455.111095   583.839626   581.250554   677.374664         409.600010         581.250554         679.129534          677.374664          585.142849          581.250554          526.393565
11    2097152.0   814.111783  143.522580  248.242422  393.905332   546.133347   742.617542   817.922008   814.111783         512.000001         742.617542         743.670908          687.140246          796.185260          837.520775          633.198054
12    4194304.0  1023.000971  146.224518  259.998995  430.626709   629.019794   861.607264  1089.995852  1024.000003         584.164887         860.899863         744.727267          778.452851          818.560515          817.284496          861.607264
13    8388608.0  1251.284042  148.913727  272.960039  468.114273   712.347810   936.228546  1258.039589  1258.039589         618.446480         935.393367        1021.506072          942.116821          961.996300          935.810771          992.969689
14   16777216.0  1392.531262  149.625575  276.468529  481.716323   746.450234  1007.519625  1343.466998  1392.531262         648.570268         992.734720        1212.577035         1190.548947         1169.306918         1148.809612         1149.439274
15   33554432.0  1475.309183  150.570937  279.741489  494.990755   777.659038  1083.239694  1424.453750  1472.073010         662.659598        1039.867148        1365.555597         1351.257781         1337.043075         1323.333003         1336.829949
16   67108864.0  1521.466957  151.241463  282.026903  506.092402   799.219525  1167.679252  1464.108160  1526.172639         673.378114        1067.830294        1439.980773         1448.309426         1442.953090         1440.104406         1449.310280
17  134217728.0  1525.860386  151.771637  284.005788  513.756017   814.111783  1217.769915  1491.573262  1560.090700         677.812531        1078.157928        1418.192367         1506.371752         1511.801383         1516.173351         1524.058402

