norm1-float64:
              N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192  cuTile-Atomic-128  cuTile-Atomic-256  cuTile-Atomic-512  cuTile-Atomic-1024  cuTile-Atomic-2048  cuTile-Atomic-4096  cuTile-Atomic-8192
0        1024.0     1.333333    2.000000    2.000000    2.000000     1.438202     1.406593     1.333333     1.000000           1.406593           1.406593           1.333333            1.340314            1.333333            1.333333            1.000000
1        2048.0     2.666667    4.000000    4.000000    4.000000     2.860335     2.813187     2.666667     2.000000           2.813187           2.813187           2.680628            2.666667            2.813187            2.666667            2.000000
2        4096.0     4.000000    8.000000    8.000000    7.699248     5.720671     5.626374     5.333333     4.000000           5.626374           5.626374           5.626374            5.626374            5.361257            5.333333            4.000000
3        8192.0     7.585185   16.000000   16.000000   11.505618    11.314917    11.252747    11.252747     8.325203          11.252747          11.252747          10.666666           10.666666           10.666666           10.666666            8.031373
4       16384.0    10.666666   31.507692   31.267177   22.882682    22.505494    22.505494    21.445026    16.000000          22.505494          22.505494          21.333333           22.505494           21.333333           21.333333           16.000000
5       32768.0    16.000000   42.666665   45.765364   45.010988    45.010988    42.666665    42.666665    32.125491          42.666665          45.010988          42.666665           42.666665           42.666665           42.666665           32.000000
6       65536.0    19.692308   66.601623   85.333330   85.333330    85.333330    85.333330    85.333330    64.000000          85.780105          85.333330          85.780105           85.333330           85.333330           66.601623           64.000000
7      131072.0    85.556134   87.614974  128.000000  135.404962   180.043953   170.666661   170.666661   129.007867         134.847735         170.666661         170.666661          170.666661          170.666661          133.203246          128.000000
8      262144.0   149.625575  113.777774  171.112269  211.406450   256.000001   336.082050   266.406493   257.003930         211.406450         266.406493         266.406493          266.406493          266.406493          266.406493          211.406450
9      524288.0   298.569479  128.125123  208.050786  293.883414   409.600010   410.883995   512.000001   512.000001         338.687332         410.883995         512.000001          512.000001          424.181236          422.812899          409.600010
10    1048576.0   567.411260  137.248168  240.941172  372.363633   522.199223   602.629893   682.666643   700.919794         416.101571         585.142849         682.666643          682.666643          682.666643          682.666643          672.164101
11    2097152.0   819.200021  142.469562  264.258068  431.157914   591.747182   832.203143   911.013006   910.222190         512.000001         815.377908         755.458227          744.727267          833.526210          926.303883          814.111783
12    4194304.0  1032.062938  146.285712  273.066674  457.095029   659.481761  1024.000003  1170.285698  1108.431307         585.142849         922.230396         780.190482          818.880143          862.315828          869.466013          918.192673
13    8388608.0  1259.550759  148.723641  287.438591  506.008444   798.306820  1129.931006  1318.963522  1310.720033         630.153853        1024.000003         997.693653          968.214237          992.969689          970.005581         1064.544109
14   16777216.0  1394.382938  149.780525  291.473520  524.287975   839.532450  1175.863217  1429.551471  1420.834740         649.876687        1132.983247        1217.151505         1190.886982         1191.563627         1173.560166         1196.321761
15   33554432.0  1484.709333  150.398164  295.508781  539.772720   885.621583  1213.629628  1506.574707  1481.039595         665.181832        1169.632996        1367.559147         1354.968207         1351.257781         1344.328201         1353.437848
16   67108864.0  1522.295208  151.178773  298.744916  554.985632   937.903387  1337.149564  1543.868278  1525.478760         674.895048        1243.678001        1468.144002         1468.593789         1455.976400         1449.999196         1460.412265
17  134217728.0  1529.128581  151.462664  300.626541  562.635089   965.539591  1437.205315  1567.378242  1560.380965         679.707315        1283.667725        1516.173351         1528.571301         1525.028122         1524.993459         1532.900840

