babelstream-Copy-float64:
             N        Torch   cuTile-128   cuTile-256   cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
1        256.0    0.711111     1.500000     1.641026     1.500000     1.627119     1.627119     1.054945     0.936585
2        512.0    1.203762     3.254237     3.000000     3.254237     2.723404     2.000000     2.000000     2.109890
3       1024.0    2.477419     5.953489     6.508474     6.508474     5.446809     4.000000     4.000000     4.219780
4       2048.0    4.815047    12.000000    13.016949    13.128205    10.816901     8.000000     8.439560     6.347108
5       4096.0    9.225225    24.000000    26.033898    26.033898    21.633802    15.999999    16.879121    12.487804
6       8192.0   19.819355    52.067795    52.067795    43.574469    43.267604    33.944752    33.758241    19.200000
7      16384.0   36.790418    86.535209   104.135590    86.535209    69.423731    63.015384    59.941462    39.638709
8      32768.0   73.580836   208.271180   138.067414   138.067414   135.032965   135.032965   135.032965    79.277419
9      65536.0  123.497486   255.999991   270.065929   271.558017   270.065929   253.360834   235.177028   158.554837
10    131072.0  254.673575   540.131858   540.131858   540.131858   540.131858   537.180338   399.609739   265.686491
11    262144.0  392.431159   799.219478   799.219478   730.884728   730.884728   799.219478   799.219478   525.689846
12    524288.0  676.791738  1268.438697  1221.167675  1180.828816  1268.438697  1268.438697  1051.379691   897.753449
13   1048576.0  827.823144  1365.333285  1389.455824  1399.345266  1389.455824  1389.455824  1228.800031  1228.800031
14   2097152.0  882.639756  1278.751165  1305.281351  1377.289009  1348.939930  1382.129991  1463.129253  1278.751165
15   4194304.0  930.138405  1405.911930  1424.695621  1434.440535  1437.061735  1436.405537  1436.405537  1357.672884
16   8388608.0  868.745627  1450.312597  1450.312597  1451.316203  1462.449039  1450.312597  1441.011392  1408.429886
17  16777216.0  635.950260  1478.255705  1480.690989  1480.516728  1480.516728  1479.994352  1480.516728  1468.936801
18  33554432.0  636.948208  1495.117902  1497.876587  1498.857827  1499.572340  1500.824503  1499.661723  1487.517688

babelstream-Dot-float64:
             N        Torch  cuTile-128  cuTile-256  cuTile-512  cuTile-1024  cuTile-2048  cuTile-4096  cuTile-8192
0        128.0     0.250000    0.500000    0.496124    0.500000     0.333333     0.333333     0.250000     0.166667
1        256.0     0.500000    1.000000    0.731429    0.670157     0.984615     0.666667     0.500000     0.332468
2        512.0     1.333333    1.984496    1.430168    2.000000     1.438202     1.333333     1.000000     0.664935
3       1024.0     2.007843    2.680628    4.000000    2.680628     2.666667     2.666667     2.000000     1.329870
4       2048.0     4.000000    8.000000    5.361257    5.333333     5.333333     5.333333     4.000000     2.659740
5       4096.0     8.000000   16.000000   10.722513   16.000000    10.666666    10.666666     8.000000     5.319481
6       8192.0    15.875970   21.445026   21.333333   21.333333    21.333333    21.333333    16.000000    10.638961
7      16384.0    25.600001   64.000000   42.666665   42.666665    42.666665    42.666665    32.000000    21.277923
8      32768.0    51.200001   85.333330   85.333330   85.333330    85.333330    67.702481    64.000000    42.666665
9      65536.0   102.400003  128.000000  128.501965  170.666661   170.666661   128.501965   128.000000    85.333330
10    131072.0   204.800005  170.666661  204.800005  256.000001   256.000001   256.000001   256.000001   170.666661
11    262144.0   341.333321  205.120508  292.571425  409.600010   409.600010   512.000001   512.000001   292.571425
12    524288.0   583.839626  240.941172  372.363633  512.000001   585.142849   585.142849   682.666643   585.142849
13   1048576.0   819.200021  264.258068  431.157914  585.142849   819.200021   910.222190   820.482034   819.200021
14   2097152.0  1024.000003  273.066674  455.111095  655.360017  1024.000003  1113.137989  1092.266694   963.764689
15   4194304.0  1259.550759  282.482752  504.123076  780.190482  1092.266694  1310.720033  1260.307707  1213.629628
16   8388608.0  1361.345042  288.704850  520.126988  819.200021  1170.285698  1394.382938  1393.919531  1337.043075
17  16777216.0  1436.897515  289.982296  530.655894  862.315828  1191.563627  1489.454534  1456.355533  1440.351621
18  33554432.0  1504.345713  294.378430  548.418408  914.987788  1323.959634  1533.005786  1440.475318  1498.099434

